Frequency_Hz,Y11_Real,Y11_Imag,Y12_Real,Y12_Imag,Y21_Real,Y21_Imag,Y22_Real,Y22_Imag
0.1,0.438277947527136,-0.00355059541710747,-0.826463338721573,2.24705183748258e-07,-0,0,-0.537250192866557,2.95098458548415e-06
0.100693514841637,0.438277842113494,-0.00357523954739007,-0.826463576027956,2.29404164045141e-07,-0,0,-0.537251027559466,3.01271647815127e-06
0.10139183931163,0.438277735189139,-0.00360005500918229,-0.826463816634204,2.34201287064272e-07,-0,0,-0.537251873815569,3.07573844909176e-06
0.102095006765465,0.438277626731831,-0.00362504299940854,-0.826464060586161,2.39098598395042e-07,-0,0,-0.537252731794285,3.14007741298791e-06
0.102803050789954,0.438277516718989,-0.00365020472347309,-0.826464307930306,2.44098186095477e-07,-0,0,-0.537253601657214,3.20576084443525e-06
0.103516005204838,0.438277405127682,-0.00367554139532257,-0.826464558713764,2.49202181597762e-07,-0,0,-0.537254483568159,3.27281678955821e-06
0.104233904064403,0.438277291934624,-0.00370105423750887,-0.826464812984312,2.54412760600752e-07,-0,0,-0.537255377693158,3.34127387782018e-06
0.104956781659108,0.438277177116168,-0.00372674448125264,-0.826465070790391,2.59732143967698e-07,-0,0,-0.537256284200517,3.41116133409369e-06
0.105684672517218,0.438277060648303,-0.0037526133665072,-0.826465332181111,2.65162598680341e-07,-0,0,-0.537257203260832,3.48250899100816e-06
0.106417611406461,0.438276942506642,-0.00377866214202309,-0.826465597206266,2.70706438761786e-07,-0,0,-0.537258135047031,3.55534730147461e-06
0.10715563333568,0.43827682266642,-0.003804892065413,-0.826465865916337,2.76366026291316e-07,-0,0,-0.537259079734394,3.62970735158508e-06
0.107898773556513,0.438276701102487,-0.0038313044032174,-0.826466138362508,2.82143772342008e-07,-0,0,-0.537260037500591,3.70562087365425e-06
0.108647067565072,0.438276577789303,-0.00385790043097052,-0.826466414596671,2.88042138037181e-07,-0,0,-0.537261008525714,3.78312025959074e-06
0.109400551103639,0.438276452700925,-0.00388468143326706,-0.826466694671436,2.94063635553066e-07,-0,0,-0.537261992992303,3.86223857457013e-06
0.110159260162376,0.438276325811009,-0.00391164870382932,-0.826466978640145,3.0021082918566e-07,-0,0,-0.537262991085388,3.943009570892e-06
0.11092323098104,0.438276197092796,-0.00393880354557485,-0.826467266556877,3.06486336421052e-07,-0,0,-0.537264002992513,4.02546770223583e-06
0.111692500050717,0.43827606651911,-0.00396614727068477,-0.82646755847646,3.12892829017891e-07,-0,0,-0.537265028903775,4.10964813812864e-06
0.112467104115564,0.438275934062348,-0.00399368120067261,-0.826467854454485,3.19433034154035e-07,-0,0,-0.537266069011857,4.19558677872481e-06
0.113247080174565,0.438275799694473,-0.00402140666645368,-0.826468154547311,3.26109735550653e-07,-0,0,-0.53726712351206,4.28332026993633e-06
0.114032465483296,0.438275663387008,-0.00404932500841508,-0.826468458812077,3.32925774627554e-07,-0,0,-0.537268192602342,4.37288601878166e-06
0.114823297555707,0.438275525111027,-0.00407743757648616,-0.826468767306715,3.39884051703612e-07,-0,0,-0.537269276483347,4.4643222091266e-06
0.115619614165913,0.438275384837149,-0.00410574573020973,-0.82646908008996,3.46987527214543e-07,-0,0,-0.537270375358446,4.55766781775127e-06
0.116421453349997,0.438275242535529,-0.00413425083881376,-0.82646939722136,3.54239222928945e-07,-0,0,-0.537271489433773,4.65296263063228e-06
0.117228853407829,0.438275098175849,-0.00416295428128367,-0.826469718761289,3.61642223230263e-07,-0,0,-0.537272618918255,4.75024725973133e-06
0.118041852904894,0.438274951727311,-0.00419185744643528,-0.826470044770954,3.69199676400478e-07,-0,0,-0.53727376402366,4.8495631599782e-06
0.118860490674132,0.438274803158631,-0.00422096173298829,-0.826470375312415,3.7691479591942e-07,-0,0,-0.537274924964621,4.95095264668038e-06
0.1196848058178,0.438274652438026,-0.00425026854964047,-0.826470710448586,3.84790861817849e-07,-0,0,-0.537276101958687,5.05445891325201e-06
0.120514837709331,0.438274499533209,-0.00427977931514243,-0.826471050243257,3.92831222044421e-07,-0,0,-0.537277295226352,5.16012604930699e-06
0.12135062599522,0.438274344411379,-0.00430949545837292,-0.826471394761098,4.01039293862135e-07,-0,0,-0.537278504991099,5.26799905917891e-06
0.122192210596917,0.438274187039212,-0.00433941841841491,-0.826471744067676,4.09418565256933e-07,-0,0,-0.537279731479435,5.37812388071851e-06
0.123039631712731,0.438274027382851,-0.00436954964463224,-0.826472098229466,4.17972596419153e-07,-0,0,-0.537280974920935,5.49054740453525e-06
0.123892929819754,0.4382738654079,-0.0043998905967469,-0.826472457313863,4.26705021190285e-07,-0,0,-0.537282235548281,5.60531749367599e-06
